bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",0,15.0962,15.0782,0.0476624,0.000211741,0.0492674,0.000221568,0.0506703,0.000231748,0.0513997,0.000241634,0.0517008,0.000251708,56241.73561540000,0.00159062,0.00122772,4.22683,2.02558,2.00319,8748.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",1,15.0904,15.0782,0.0481608,0.000226223,0.0497557,0.000239171,0.0511543,0.000252766,0.0518608,0.000266385,0.0521317,0.000280502,56241.73563817923,0.00200122,0.00158876,4.25041,2.01833,1.97755,8771.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",2,15.0899,15.0881,0.0479402,0.000223735,0.0495125,0.000236174,0.0508773,0.000249205,0.0515729,0.000262243,0.0518397,0.000275742,56241.73566095845,0.00207124,0.00153705,4.28164,2.03632,1.98033,8702.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",3,15.0883,15.0899,0.0480170,0.000212621,0.0495973,0.000222444,0.0509783,0.000232634,0.0516910,0.000242547,0.0519635,0.000252640,56241.73568373767,0.00177580,0.00123639,4.19808,1.99133,1.95574,8758.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",4,15.1017,15.0698,0.0479261,0.000208076,0.0495280,0.000216885,0.0509217,0.000225938,0.0516263,0.000234553,0.0518975,0.000243235,56241.73570651690,0.00180033,0.00110171,4.21435,2.03038,1.97580,8760.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",5,15.1010,15.0772,0.0479809,0.000221586,0.0495472,0.000233512,0.0508990,0.000245981,0.0516006,0.000258438,0.0518920,0.000271336,56241.73572929612,0.00202892,0.00148097,4.22885,2.04781,1.97465,8775.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",6,15.1090,15.0791,0.0477077,0.000217847,0.0493022,0.000229076,0.0506612,0.000240744,0.0513428,0.000252279,0.0515812,0.000264140,56241.73575207535,0.00198861,0.00139549,4.18495,2.03187,1.95359,8750.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",7,15.1033,15.0688,0.0479839,0.000221061,0.0495859,0.000232920,0.0509760,0.000245309,0.0516774,0.000257615,0.0519424,0.000270317,56241.73577485457,0.00194466,0.00146745,4.13533,2.00947,1.95715,8855.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",8,15.1149,15.0698,0.0483049,0.000219509,0.0499207,0.000230882,0.0512958,0.000242701,0.0519959,0.000254409,0.0522580,0.000266466,56241.73579763380,0.00194431,0.00141356,4.15437,2.00535,1.95594,8881.56
"ch2/bcd/SPITZER_I2_46467072_0000_0000_1_bcd.fits",9,15.1074,15.0772,0.0475084,0.000220723,0.0491206,0.000232737,0.0505054,0.000245263,0.0512147,0.000257732,0.0514929,0.000270610,56241.73582041302,0.00205976,0.00147851,4.18317,2.03410,1.99349,8764.56
