bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN,pixval0-0,pixval0-1,pixval0-2,pixval0-3,pixval0-4,pixval0-5,pixval0-6,pixval0-7,pixval0-8,pixval1-0,pixval1-1,pixval1-2,pixval1-3,pixval1-4,pixval1-5,pixval1-6,pixval1-7,pixval1-8,pixval2-0,pixval2-1,pixval2-2,pixval2-3,pixval2-4,pixval2-5,pixval2-6,pixval2-7,pixval2-8,pixval3-0,pixval3-1,pixval3-2,pixval3-3,pixval3-4,pixval3-5,pixval3-6,pixval3-7,pixval3-8,pixval4-0,pixval4-1,pixval4-2,pixval4-3,pixval4-4,pixval4-5,pixval4-6,pixval4-7,pixval4-8,pixval5-0,pixval5-1,pixval5-2,pixval5-3,pixval5-4,pixval5-5,pixval5-6,pixval5-7,pixval5-8,pixval6-0,pixval6-1,pixval6-2,pixval6-3,pixval6-4,pixval6-5,pixval6-6,pixval6-7,pixval6-8,pixval7-0,pixval7-1,pixval7-2,pixval7-3,pixval7-4,pixval7-5,pixval7-6,pixval7-7,pixval7-8,pixval8-0,pixval8-1,pixval8-2,pixval8-3,pixval8-4,pixval8-5,pixval8-6,pixval8-7,pixval8-8
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",0,15.1341,15.1210,0.0474842,0.000219795,0.0491234,0.000231642,0.0504385,0.000243835,0.0511217,0.000256016,0.0513914,0.000268610,56430.04756830000,0.00171051,0.00145638,4.45912,2.04136,1.99806,8424.56,-0.223362,0.0953622,1.13904,2.66713,1.12616,3.58935,1.28535,1.12250,0.250966,1.03232,1.91009,3.22100,1.15899,2.04779,0.688499,1.99301,3.44847,0.615336,1.31614,1.65908,1.61814,1.41648,12.9555,9.21467,2.95621,2.41672,0.926500,4.32800,2.81421,4.57148,26.9177,70.3710,62.6120,11.9803,1.99604,3.03595,2.59907,2.48440,20.5605,87.0781,690.692,123.550,17.1528,1.92716,0.897213,3.14238,2.12951,7.62905,50.2286,105.609,97.1007,14.1364,1.09380,2.54981,1.19045,0.937927,1.55106,7.20834,35.1246,30.2696,7.49041,1.49788,1.38249,1.60542,2.38661,1.55387,0.758861,3.13042,5.19975,2.27590,1.48704,1.19571,0.328935,1.00877,1.31716,2.16401,1.65408,3.04711,2.24800,1.61973,0.972693
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",1,15.1351,15.1341,0.0475670,0.000211615,0.0492604,0.000221600,0.0506138,0.000231713,0.0513417,0.000241610,0.0516348,0.000251687,56430.04759107922,0.00169352,0.00122875,4.40555,2.03868,1.96489,8454.56,-0.0641468,-0.0643621,1.13919,2.82784,1.44395,3.82725,2.23844,1.12319,0.487247,0.919830,2.49369,1.94456,0.815763,2.41164,1.74182,1.65364,3.57362,1.52288,1.43319,1.93854,1.89069,0.902596,14.1602,10.4581,3.46357,1.98730,1.51398,3.93182,1.39981,4.95413,28.0269,68.8192,63.7108,11.5691,2.06525,3.58324,2.12931,1.76773,20.4791,85.7668,694.611,125.566,17.5651,1.92751,2.25863,2.95256,1.93803,8.14766,46.8806,101.194,100.118,13.3068,1.77504,1.74312,1.71237,0.898827,1.82564,8.20041,35.7135,31.5692,7.92454,1.45996,1.26767,2.13013,2.14619,1.93164,1.21592,3.27719,4.86874,2.26617,2.33459,0.787436,0.725902,1.39259,1.62908,2.24283,1.41256,1.93670,1.16403,1.70022,0.0136842
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",2,15.1356,15.1350,0.0478239,0.000215232,0.0495233,0.000225961,0.0508653,0.000236868,0.0515727,0.000247634,0.0518563,0.000258683,56430.04761385845,0.00187505,0.00131942,4.55136,2.04108,2.01022,8357.56,0.472575,0.474848,0.798757,3.28931,1.74222,3.80804,2.13981,1.41978,0.468163,0.823179,2.47853,2.34147,1.42363,2.87062,1.18358,1.32979,3.87208,0.881432,1.72725,1.52242,1.87250,1.67658,12.8199,9.71764,2.89851,2.51687,1.02544,4.21592,2.70042,4.22040,28.4013,71.2103,63.4439,12.9807,2.59676,3.39811,2.58007,2.30620,21.8046,85.9068,686.520,131.149,18.4564,2.54581,2.55915,3.09416,2.23893,8.21028,48.0721,105.783,101.953,14.3247,2.15541,1.72694,1.21157,1.59573,0.866768,7.86437,35.7754,31.2351,7.03712,1.59885,1.40424,2.64048,2.42874,2.21824,1.26861,2.70384,5.72012,2.16107,1.68549,1.00109,0.231329,0.760531,1.53099,1.91435,1.24325,2.70300,2.47615,1.76029,0.872205
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",3,15.1353,15.1389,0.0479693,0.000215148,0.0496664,0.000225785,0.0510077,0.000236596,0.0517159,0.000247262,0.0519919,0.000258190,56430.04763663767,0.00198464,0.00131035,4.42905,2.00831,1.98901,8487.56,0.223462,0.383695,1.42943,2.95718,1.49282,3.79668,1.88994,1.56687,0.457203,0.474771,2.75855,1.48404,1.70838,2.68479,1.69920,0.917765,3.84467,1.24527,1.55591,1.74572,1.85772,1.58248,12.6498,9.70249,3.27369,1.56262,1.94879,3.34195,0.882085,4.66728,28.0541,67.3941,65.0157,13.4343,2.25335,3.21296,2.17771,3.17075,22.8212,82.6419,697.647,132.273,19.5222,2.85250,2.06746,3.14549,2.29031,7.63130,49.2543,103.166,102.007,14.6144,0.937434,1.93253,1.03620,1.65923,1.40025,7.45234,34.3316,30.8239,7.81121,1.58891,1.15459,2.46377,2.55815,1.41583,1.39989,2.37099,5.45375,1.89897,2.36253,1.37288,0.853241,0.672380,1.75241,2.21658,1.37896,2.45329,2.29631,1.34716,0.542098
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",4,15.1432,15.1289,0.0479948,0.000214283,0.0496625,0.000224657,0.0509747,0.000235188,0.0516773,0.000245588,0.0519613,0.000256247,56430.04765941689,0.00176457,0.00128484,4.38444,1.99798,1.97487,8511.56,0.374708,0.375254,0.940313,3.02967,1.88220,3.94810,2.91399,0.531431,0.213825,0.413177,2.16235,1.42128,1.02531,2.62443,0.786802,1.09024,3.54897,1.10739,1.90105,1.46153,1.81309,1.21959,12.6824,10.2181,3.22881,2.37893,2.21549,3.76132,2.70896,4.15046,28.0892,67.2676,60.5737,12.4298,2.52582,3.72615,2.95313,2.12777,21.8639,88.1613,699.777,129.259,17.1938,2.20758,2.38037,3.47968,2.31064,8.04395,47.8213,103.429,103.639,13.6793,1.98774,2.10663,0.828627,1.13892,0.887053,7.88268,35.6330,30.0676,6.50407,1.29886,1.65267,2.03826,3.05152,1.37239,1.51143,3.41803,5.65254,1.85537,1.92840,1.08873,0.845032,0.742669,1.74616,1.66230,1.36915,2.52800,1.45767,1.82215,1.01312
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",5,15.1395,15.1279,0.0480354,0.000209943,0.0496921,0.000219242,0.0510026,0.000228605,0.0517025,0.000237710,0.0519873,0.000246960,56430.04768219612,0.00178462,0.00115459,4.34812,2.02019,1.98082,8588.56,0.809975,-0.0627835,0.738755,2.98894,1.04786,4.38386,2.63542,1.12320,0.173562,1.09170,1.96693,2.20453,0.671078,1.71048,0.589573,1.81879,3.97790,1.53413,1.16169,1.90064,1.46556,1.49832,12.0240,9.53611,4.04946,3.43687,1.78759,4.18842,1.58140,4.58657,29.0952,68.7616,64.0530,12.1535,1.85242,3.44973,2.52151,2.48516,21.0329,86.9001,706.342,126.862,16.3229,2.16725,1.21773,3.67389,2.42565,7.76474,47.5341,102.738,97.7054,14.1128,1.54759,1.83130,0.952681,1.41534,2.02301,7.92374,36.8641,29.7927,6.62405,1.57556,1.46148,2.38410,2.32619,2.34505,1.47440,3.45883,5.93016,1.97650,2.36007,1.68818,0.251268,1.08612,1.62933,1.77850,1.95508,2.72738,2.16599,1.29899,0.335197
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",6,15.1515,15.1198,0.0476957,0.000217477,0.0493100,0.000228652,0.0505588,0.000240057,0.0512152,0.000251454,0.0514956,0.000263259,56430.04770497535,0.00192291,0.00138671,4.31461,2.01862,1.98259,8565.56,-0.200174,0.993798,1.56323,2.60915,1.14899,3.13520,1.86384,1.85662,0.509576,0.630264,2.13963,2.39075,1.23614,2.52180,1.69451,1.29859,3.76170,1.31881,1.14955,1.80965,1.53131,1.48684,10.6911,8.80180,3.17895,2.25034,1.69740,3.85147,2.17670,5.18724,26.8998,62.6889,63.1446,10.3674,2.14198,3.42048,2.85616,3.38308,20.8961,86.4350,704.470,122.330,17.3394,1.71057,1.47996,3.14113,2.52522,7.86317,48.5229,109.067,97.8874,13.6557,1.88478,2.16110,1.66092,1.40390,1.14952,7.83226,36.4540,30.0188,6.76801,1.40855,1.52735,1.97485,2.52713,1.69517,1.13579,3.43624,5.66316,2.65810,2.87722,0.943685,0.747386,1.41284,1.33950,2.18669,1.50394,2.59595,2.27121,1.32155,0.995315
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",7,15.1476,15.1210,0.0479917,0.000218652,0.0496612,0.000230048,0.0509677,0.000241689,0.0516552,0.000253294,0.0519216,0.000265260,56430.04772775457,0.00189794,0.00140497,4.36658,2.02784,1.95558,8548.56,0.380158,0.142244,1.34753,2.63374,1.96734,2.84208,1.88809,0.774201,0.534017,1.19339,2.14096,2.39278,1.70527,2.76074,0.687974,1.53106,3.36993,1.08549,2.19452,1.84027,1.32970,1.44044,13.0526,9.39629,3.52254,2.20366,1.72886,4.10410,0.169325,4.89329,28.6052,66.4980,62.7672,10.1494,2.40185,3.36256,2.95883,2.21322,22.7404,88.6542,702.956,123.823,17.0344,2.21340,2.30616,2.66976,2.44668,7.47054,47.7169,106.800,100.307,12.7827,1.33157,2.23984,0.888384,1.51557,1.26314,8.97501,37.0408,30.9970,7.11549,1.52014,1.17067,2.22392,2.47088,1.87153,1.70141,3.29712,5.28632,2.12805,2.74216,0.487920,0.771777,1.43774,2.29609,1.82178,1.68817,2.14375,3.04765,1.26573,0.180843
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",8,15.1443,15.1220,0.0479463,0.000219973,0.0496541,0.000231755,0.0509851,0.000243786,0.0516615,0.000255761,0.0519272,0.000268144,56430.04775053379,0.00180663,0.00144153,4.37036,2.01732,1.99161,8550.56,0.493268,-0.222284,1.14033,2.98856,1.44542,4.14655,1.76268,0.886730,0.567023,0.765458,2.65223,1.94991,1.21066,2.81263,0.506218,1.50455,4.52241,0.980289,1.43499,2.49677,2.12503,0.826354,12.9191,7.89221,3.62076,2.61531,1.98322,3.30628,2.63937,3.68689,29.2202,64.1341,62.8197,11.8798,2.13663,3.17611,2.05212,2.32628,21.6655,85.5988,703.161,122.881,18.5604,1.68930,1.61865,3.43057,2.65701,8.78292,48.8194,108.798,98.9882,14.7431,1.54056,1.82562,0.832264,1.13616,1.35546,8.43992,36.6649,32.7544,6.58364,1.06050,1.26691,2.27549,2.44518,1.30379,1.28448,2.57264,5.57852,1.47064,2.32633,1.57461,0.568811,0.933637,1.55117,1.47125,1.56296,3.12779,2.24747,1.29985,0.813860
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",9,15.1431,15.1189,0.0477183,0.000216074,0.0493656,0.000226962,0.0506684,0.000238076,0.0513465,0.000249091,0.0516050,0.000260419,56430.04777331302,0.00190185,0.00134787,4.36000,2.01115,1.96779,8504.56,0.346124,0.744989,1.23235,3.48255,2.01187,2.64898,2.32962,0.977023,0.263937,1.09400,2.27612,2.37212,1.29631,2.82046,1.05658,1.12692,3.74358,1.06624,1.77136,1.88598,1.60742,1.72289,11.5440,9.12078,2.86576,2.01386,1.14938,4.42091,1.58186,4.58706,26.6085,66.6660,64.1328,11.5951,2.01247,3.60981,2.68987,2.01924,21.2033,89.5939,699.307,123.461,16.4181,2.17853,1.15011,2.65067,1.87145,8.47547,49.3121,106.297,96.1739,13.3195,1.94602,2.22114,1.73951,1.24353,1.61869,8.62374,36.0559,31.4377,7.16205,1.56641,1.60331,1.85003,3.17024,0.949095,1.24372,2.68215,5.13399,1.66320,2.20494,0.893583,0.817279,0.868144,1.95190,2.79230,1.89492,2.18892,1.42811,1.87295,1.14561
