Planet,Equilibrium temperature,3.6 μm Tb,4.5 μm Tb
HAT-13,1653± 50,1810± 229,1754± 200
HAT-30,1718± 34,2087± 140,1938± 160
HAT-33,1855± 148,2112± 162,1990± 209
HAT-40,1771± 38,2074± 354,1887± 259
HAT-41,1685± 58,1694± 294,1622± 125
KELT-2,1721± 36,1994± 104,1782± 111
KELT-3,1829± 42,2445± 133,2132± 133
KELT-7,2056± 31,2512± 69,2415± 73
Qatar-1,1422± 36,1410± 425,1532± 219
WASP-12,2546± 82,3329± 172,2934± 114
WASP-14,1893± 60,2302± 85,2256± 92
WASP-14,1893± 60,2292± 76,2319± 92
WASP-18,2416± 58,3057± 63,3323± 80
WASP-19,2099± 39,2451± 127,2191± 169
WASP-19,2099± 39,2465± 114,2353± 219
WASP-36,1705± 44,1336± 844,1506± 420
WASP-43,1444± 40,1781± 65,1537± 78
WASP-46,1663± 54,1435± 740,2014± 267
WASP-49,1320± 88,—,1256± 389
WASP-62,1432± 33,1955± 177,1593± 153
WASP-63,1536± 37,1547± 308,1395± 324
WASP-64,1674± 169,2135± 202,1607± 366
WASP-65,1490± 45,1833± 284,1179± 518
WASP-74,1922± 46,2049± 94,2161± 105
WASP-75,1710± 39,—,1112± 983
WASP-76,2190± 43,2669± 57,2747± 60
WASP-77,1677± 28,1786± 84,1696± 87
WASP-78,2200± 41,3034± 331,2763± 483
WASP-79,1760± 51,1959± 125,1948± 117
WASP-87,2320± 62,2802± 172,2988± 152
WASP-94A,1508± 75,1385± 95,1249± 118
WASP-97,1545± 40,1772± 111,1615± 107
WASP-100,2207± 170,2306± 180,2429± 168
WASP-101,1559± 38,1723± 166,1524± 145
WASP-103,2513± 49,2993± 150,3268± 231
WASP-103,2513± 49,2771± 181,3066± 221
WASP-104,1501± 189,1716± 197,1783± 205
WASP-121,2366± 57,2490± 77,2562± 66
WASP-131,1463± 32,1397± 369,1114± 309
